사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Jan,2호선,245,신답,14,0,1056,142,1722,650,5972,773,11520,1626,4891,938,2437,977,2115,1204,2038,1402,2132,1462,1777,1901,1751,2728,1947,3669,2048,4791,2118,10328,960,7084,589,3561,444,3657,438,2865,145,1971,41,537,0,0,0,0,0,0
24-Jan,2호선,246,신설동,49,1,1176,260,1450,2023,4724,5295,8408,14713,5094,9531,4179,7933,5443,7318,6785,7302,7704,7555,8082,6280,9026,5626,9714,4995,11955,5401,14159,7245,4659,5320,3050,3857,2550,3113,1722,2959,590,1962,98,638,0,138,0,0,0,0
24-Jan,2호선,247,도림천,3,0,511,387,1260,809,3046,2543,3712,5427,2099,1982,2225,1334,1540,1181,2649,1950,1708,1745,1969,1854,1959,1786,2566,2290,3211,2738,3694,3501,1712,2980,903,1962,964,1658,373,1349,203,1031,47,322,0,6,0,0,0,0
24-Jan,2호선,248,양천구청,20,1,4809,965,11520,2249,32764,4171,29389,9614,17219,4961,12028,4657,10986,5205,11124,6737,9966,8011,8108,8664,7779,10923,8577,13312,9356,19224,9473,30589,4145,26247,2777,14732,2360,13519,2131,11412,797,8239,146,2689,0,26,0,0,0,0
24-Jan,2호선,249,신정네거리,99,0,8750,1119,17561,2842,49852,4369,45806,11487,23636,8154,17788,7352,15722,9028,16562,10038,15537,11845,13240,13086,12474,17217,12969,21986,13278,31032,12368,50740,7296,38027,5559,21018,4515,19189,3506,16595,1656,11092,325,3180,3,169,0,0,0,0
24-Jan,2호선,250,용두(동대문구청),48,1,1281,128,1768,984,5421,2541,10045,5659,4916,3377,3667,3507,3817,3729,4410,3713,4279,4688,4579,4492,4975,4897,5382,4427,5149,5339,5628,8988,2566,6132,1879,3410,1463,3164,891,2290,332,1628,86,500,0,4,0,0,0,0
24-Jan,3호선,309,지축,11,1,3181,632,10665,6817,30044,5050,29449,9131,15835,6477,11193,5609,9710,5267,10554,7154,10157,8013,9124,8070,9831,9908,10498,12127,12815,17249,9859,28880,5875,23589,4987,15442,4544,12731,3227,10912,1494,6199,242,1137,0,0,0,0,0,0
24-Jan,3호선,310,구파발,104,2,11367,1583,34315,9671,86526,18375,83704,25982,45290,24390,31492,25204,30601,24718,32613,26145,30657,29172,31017,30687,34056,30802,36118,36154,37516,46999,30290,77642,19248,68106,15964,36683,13918,33085,11412,27999,3191,19653,580,7975,4,544,0,0,0,0
24-Jan,3호선,311,연신내,193,9,24594,1735,46514,11415,118030,16745,142426,33064,82666,33313,55004,32126,52467,35263,58384,39569,53718,42821,49792,46393,50746,56113,53358,64652,50745,83476,46016,130448,31565,114730,25207,64883,23707,57438,19523,50770,9646,32028,1538,10999,1,53,0,1,0,0
24-Jan,3호선,312,불광,46,0,9190,1130,18464,4811,51349,9468,64313,29427,37490,24944,26686,21790,24205,23341,25518,24837,25821,27506,26365,28299,27775,30500,28261,34529,27786,40301,29394,61262,16351,50015,12832,28678,10306,25473,7200,22500,3190,13174,450,4279,0,1,0,0,0,0
24-Jan,3호선,313,녹번,71,3,9564,657,24711,3420,71755,7382,79025,16981,45011,10016,27971,9393,23253,10095,22840,12207,20887,13725,18082,16609,17061,20792,17365,26396,17936,36367,20957,64774,9841,56024,7457,31050,6007,28229,4319,24516,1557,14610,239,3885,0,0,0,0,0,0
